['USID', 'cluster_algo', 'cluster_number']
[8456000114, 'KMeans', 2]
[8456000115, 'KMeans', 2]
[8456000116, 'KMeans', 2]
[8456000117, 'KMeans', 2]
[8456000118, 'KMeans', 2]
[8456000119, 'KMeans', 2]
[8456000120, 'KMeans', 2]
[8456000121, 'KMeans', 2]
[8456000122, 'KMeans', 2]
[8456000123, 'KMeans', 2]
[8456000124, 'KMeans', 2]
[8456000125, 'KMeans', 2]
[8456000126, 'KMeans', 2]
[8456000127, 'KMeans', 2]
[8456000128, 'KMeans', 2]
[8456000129, 'KMeans', 2]
[8456000130, 'KMeans', 2]
[8456000131, 'KMeans', 2]
[8456000132, 'KMeans', 2]
[8456000133, 'KMeans', 2]
[8456000134, 'KMeans', 2]
[8456000135, 'KMeans', 2]
[8456000136, 'KMeans', 2]
[8456000137, 'KMeans', 2]
[8456000138, 'KMeans', 2]
[8456000139, 'KMeans', 2]
[8456000140, 'KMeans', 2]
[8456000141, 'KMeans', 2]
[8456000142, 'KMeans', 2]
[8456000143, 'KMeans', 2]
[8456000144, 'KMeans', 2]
[8456000145, 'KMeans', 2]
[8456000146, 'KMeans', 2]
[8456000147, 'KMeans', 2]
[8456000148, 'KMeans', 2]
[8456000149, 'KMeans', 2]
[8456000150, 'KMeans', 2]
[8456000151, 'KMeans', 2]
[8456000152, 'KMeans', 2]
[8456000153, 'KMeans', 2]
[8456000154, 'KMeans', 2]
[8456000155, 'KMeans', 2]
[8456000156, 'KMeans', 2]
[8456000157, 'KMeans', 2]
[8456000158, 'KMeans', 2]
[8456000159, 'KMeans', 2]
[8456000160, 'KMeans', 2]
[8456000161, 'KMeans', 2]
[8456000162, 'KMeans', 2]
[8456000163, 'KMeans', 2]
[8456000164, 'KMeans', 2]
[8456000165, 'KMeans', 2]
[8456000166, 'KMeans', 2]
[8456000167, 'KMeans', 2]
[8456000168, 'KMeans', 2]
[8456000169, 'KMeans', 2]
[8456000170, 'KMeans', 2]
[8456000171, 'KMeans', 2]
[8456000172, 'KMeans', 2]
[8456000173, 'KMeans', 2]
[8456000174, 'KMeans', 2]
[8456000175, 'KMeans', 2]
[8456000176, 'KMeans', 2]
